Product,Stock Quantity,Img
Laptop Pro 14,98,https://atlas-content-cdn.pixelsquid.com/stock-images/apple-macbook-pro-14-inch-silver-Ka8Ke1E-600.jpg
Tablet Z,185,https://www.sony.com/image/31aa2de3ab10ae74439db1c8d805177a?fmt=pjpeg&resMode=bisharp&wid=360
Smartphone X,138,https://itouchcommunications.com/wp-content/uploads/2020/06/Apple-iPhone-X-256GB-HDD-3GB-RAM.jpg
Headphones Plus,109,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnZNYrU098FBF5APVx-UPqp5kVYLhwMx_H6A&s
Smartwatch 3,133,https://gh.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/98/9337322/1.jpg?7404
Gaming Console Z,234,https://www.godukkan.com/media/catalog/product/cache/1e956416f23a3189dd109399e2010303/s/t/valve-steam-deck-handheld-gaming-console-64gb1965.jpg
Wireless Speaker,123,https://i5.walmartimages.com/seo/Portable-Bluetooth-Speaker-Wireless-Speaker-10W-Loud-Stereo-Sound-Outdoor-Speakers-5-0-30H-Playtime-66ft-Range-Dual-Pairing-Home-Party_5c462825-76ea-4776-8265-bd743590a8ca.5ae3c55c65970f584371f215042688b0.jpeg
Desktop PC Ultra,266,https://img.freepik.com/premium-photo/modern-desktop-pc-personal-computer-with-curved-ultra-hd-led-screen-isolated-white_613961-293.jpg
Monitor HD 24,271,https://m.media-amazon.com/images/I/61C5oPdbgYL.jpg
Smart TV QLED,78,https://goodluckafrica.com/wp-content/uploads/2020/09/Samsung-QLED-4K-Smart-TV-1.jpg
Camera Pro S,84,https://www.ubuy.com.gh/productimg/?image=aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNDFESmh6WlU2aUwuX0FDX1NMMTAwMF8uanBn.jpg
Drone Vision,261,https://www1.djicdn.com/assets/images/products/phantom-2-vision/phantom-2-vision-93b945aff62e6c39b36658998626c513.png
Fitness Tracker X,152,"https://m.media-amazon.com/images/I/51XajvzAHGL._AC_UF1000,1000_QL80_.jpg"
Soundbar 360,172,https://www.niamapa.com/wp-content/uploads/2021/08/Samsung-360-Watts-Soundbar-With-3D-Surround-Sound.jpg
VR Headset Pro,151,https://m.media-amazon.com/images/I/51VgF7mRmLL.jpg
